"任务名","任务路径","状态","下次运行","上次运行","上次结果","Execute","Arguments","起始目录","Execute是否存在","Execute类型","Execute解析路径","引用文件数量","存在文件数量","缺失文件数量","缺失文件","存在文件"
"Restore","\Microsoft\Windows\CloudRestore\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Consolidator","\Microsoft\Windows\Customer Experience Improvement Program\","Ready","2026/6/24 0:00:00","2026/6/23 18:00:01","0","%SystemRoot%\System32\wsqmcons.exe",,,"否","缺失","%SystemRoot%\System32\wsqmcons.exe","0","0","0","",""
"UnifiedConsentSyncTask","\Microsoft\Windows\ConsentUX\UnifiedConsent\","Ready","2026/6/24 12:23:23","2026/6/23 13:50:48","0",,,,"否","空","","0","0","0","",""
"Backup","\Microsoft\Windows\AppListBackup\","Ready",,"2026/6/23 12:10:16","0",,,,"否","空","","0","0","0","",""
"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Disabled","2026/6/24 3:46:25","1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"RecoverabilityToastTask","\Microsoft\Windows\AccountHealth\","Ready",,"2026/6/23 13:27:45","0",,,,"否","空","","0","0","0","",""
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\","Ready",,"2026/6/23 13:21:29","2147946720","%windir%\system32\appidcertstorecheck.exe",,,"否","缺失","%windir%\system32\appidcertstorecheck.exe","0","0","0","",""
"PolicyConverter","\Microsoft\Windows\AppID\","Ready",,"2025/12/4 12:14:26","0","%windir%\system32\appidpolicyconverter.exe",,,"否","缺失","%windir%\system32\appidpolicyconverter.exe","0","0","0","",""
".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\","Disabled",,"2026/6/17 12:10:35","0",,,,"否","空","","0","0","0","",""
"OneDrive Standalone Update Task-S-1-5-21-2400464376-1604092282-1729554545-1001","\","Ready","2026/6/24 19:18:16","2026/6/23 17:08:10","2147806724","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe",,,"否","缺失","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe","0","0","0","",""
"OneDrive Reporting Task-S-1-5-21-2400464376-1604092282-1729554545-1001","\","Ready","2026/6/24 17:40:51","2026/6/23 17:40:52","0","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe","/reporting",,"否","缺失","%localappdata%\Microsoft\OneDrive\OneDriveStandaloneUpdater.exe","0","0","0","",""
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","Ready",,"2026/6/23 12:04:45","0",,,,"否","空","","0","0","0","",""
".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\","Disabled",,"2026/6/17 12:10:35","0",,,,"否","空","","0","0","0","",""
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\","Ready",,"2026/6/23 12:04:45","0",,,,"否","空","","0","0","0","",""
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\","Ready",,"2026/6/23 12:04:43","0","%windir%\system32\AppHostRegistrationVerifier.exe",,,"否","缺失","%windir%\system32\AppHostRegistrationVerifier.exe","0","0","0","",""
"StartupAppTask","\Microsoft\Windows\Application Experience\","Ready",,"2026/6/23 5:17:24","0","%windir%\system32\rundll32.exe","Startupscan.dll,SusRunTask",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\","Ready",,"2026/6/23 5:56:05","0","%windir%\system32\AppHostRegistrationVerifier.exe",,,"否","缺失","%windir%\system32\AppHostRegistrationVerifier.exe","0","0","0","",""
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\","Ready",,"2026/6/23 12:04:43","0","%windir%\system32\dstokenclean.exe",,,"否","缺失","%windir%\system32\dstokenclean.exe","0","0","0","",""
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\","Ready",,"2026/6/18 9:44:35","0","%windir%\system32\rundll32.exe","Windows.Storage.ApplicationData.dll,CleanupTemporaryState",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"SdbinstMergeDbTask","\Microsoft\Windows\Application Experience\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\sdbinst.exe","-mm",,"否","缺失","%windir%\system32\sdbinst.exe","0","0","0","",""
"MareBackup","\Microsoft\Windows\Application Experience\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\compattelrunner.exe","-m:appraiser.dll -f:DoScheduledTelemetryRun",,"否","缺失","%windir%\system32\compattelrunner.exe","0","0","0","",""
"MareBackup","\Microsoft\Windows\Application Experience\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\compattelrunner.exe","-m:aeinv.dll -f:UpdateSoftwareInventoryW invsvc",,"否","缺失","%windir%\system32\compattelrunner.exe","0","0","0","",""
"MareBackup","\Microsoft\Windows\Application Experience\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\compattelrunner.exe","-m:aemarebackup.dll -f:BackupMareData",,"否","缺失","%windir%\system32\compattelrunner.exe","0","0","0","",""
"PcaPatchDbTask","\Microsoft\Windows\Application Experience\","Ready","2026/6/24 4:25:20","2026/6/23 16:38:15","0","%windir%\system32\rundll32.exe","%windir%\system32\PcaSvc.dll,PcaPatchSdbTask",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"Microsoft Compatibility Appraiser Exp","\Microsoft\Windows\Application Experience\","Ready",,"1999/11/30 0:00:00","267011","%windir%\system32\compattelrunner.exe","-m:appraiser.dll -f:DoScheduledTelemetryRun express",,"否","缺失","%windir%\system32\compattelrunner.exe","0","0","0","",""
"Monitoring","\Microsoft\Windows\Hotpatch\","Ready","2026/6/24 3:16:48","2026/6/23 12:04:43","0","%systemroot%\system32\cmd.exe","/d /c %systemroot%\system32\hpatchmonTask.cmd",,"否","缺失","%systemroot%\system32\cmd.exe","0","0","0","",""
"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\","Ready","2026/6/23 21:55:55","2026/6/23 18:13:30","0",,,,"否","空","","0","0","0","",""
"InputSettingsRestoreDataAvailable","\Microsoft\Windows\input\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"MouseSyncDataAvailable","\Microsoft\Windows\input\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"LocalUserSyncDataAvailable","\Microsoft\Windows\input\","Ready",,"2026/4/13 14:26:56","0",,,,"否","空","","0","0","0","",""
"UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","Ready",,"2026/6/23 12:10:16","0",,,,"否","空","","0","0","0","",""
"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\","Ready",,"2026/6/23 12:10:17","0",,,,"否","空","","0","0","0","",""
"ReconcileConfigs","\Microsoft\Windows\Flighting\FeatureConfig\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"SafeguardsReconciliation","\Microsoft\Windows\Flighting\FeatureConfig\","Ready",,"2026/6/23 12:10:17","0",,,,"否","空","","0","0","0","",""
"UsageDataReceiver","\Microsoft\Windows\Flighting\FeatureConfig\","Ready",,"2026/6/23 18:43:03","0",,,,"否","空","","0","0","0","",""
"UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\","Ready",,"2026/6/22 16:47:18","0",,,,"否","空","","0","0","0","",""
"ScanForUpdates","\Microsoft\Windows\InstallService\","Ready","2026/6/24 13:31:23","2026/6/23 16:52:20","0",,,,"否","空","","0","0","0","",""
"RestoreDevice","\Microsoft\Windows\InstallService\","Ready",,"2026/6/17 13:10:05","0",,,,"否","空","","0","0","0","",""
"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\","Ready",,"2026/6/23 12:04:43","0",,,,"否","空","","0","0","0","",""
"WakeUpAndScanForUpdates","\Microsoft\Windows\InstallService\","Disabled","2026/6/24 9:58:27","1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"WakeUpAndContinueUpdates","\Microsoft\Windows\InstallService\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"TouchpadSyncDataAvailable","\Microsoft\Windows\input\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"RemoteMouseSyncDataAvailable","\Microsoft\Windows\input\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"PenSyncDataAvailable","\Microsoft\Windows\input\","Ready",,"2026/4/13 14:26:56","0",,,,"否","空","","0","0","0","",""
"RemotePenSyncDataAvailable","\Microsoft\Windows\input\","Ready",,"2026/4/13 14:26:56","0",,,,"否","空","","0","0","0","",""
"syncpensettings","\Microsoft\Windows\input\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"RemoteTouchpadSyncDataAvailable","\Microsoft\Windows\input\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"GovernedFeatureUsageProcessing","\Microsoft\Windows\Flighting\FeatureConfig\","Ready",,"2026/6/22 9:13:19","0",,,,"否","空","","0","0","0","",""
"SilentCleanup","\Microsoft\Windows\DiskCleanup\","Ready",,"2026/6/23 13:21:29","2147946720","%windir%\system32\cleanmgr.exe","/autocleanstoragesense /d %systemdrive%",,"否","缺失","%windir%\system32\cleanmgr.exe","0","0","0","",""
"DXGIAdapterCache","\Microsoft\Windows\DirectX\","Ready",,"2026/6/18 9:00:35","0","%windir%\system32\dxgiadaptercache.exe",,,"否","缺失","%windir%\system32\dxgiadaptercache.exe","0","0","0","",""
"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\","Disabled",,"2025/12/23 12:14:14","0","%windir%\system32\rundll32.exe","dfdts.dll,DfdGetDefaultPolicyAndSMART",,"否","缺失","%windir%\system32\rundll32.exe","0","0","0","",""
"Diagnostics","\Microsoft\Windows\DiskFootprint\","Ready",,"2026/6/23 12:04:43","0","%windir%\system32\disksnapshot.exe","-z",,"否","缺失","%windir%\system32\disksnapshot.exe","0","0","0","",""
"Microsoft-Windows-DiskDiagnosticResolver","\Microsoft\Windows\DiskDiagnostic\","Disabled",,"1999/11/30 0:00:00","267011","%windir%\system32\DFDWiz.exe",,,"否","缺失","%windir%\system32\DFDWiz.exe","0","0","0","",""
"DirectXDatabaseUpdater","\Microsoft\Windows\DirectX\","Ready",,"2026/5/9 9:07:38","0","%windir%\system32\directxdatabaseupdater.exe",,,"否","缺失","%windir%\system32\directxdatabaseupdater.exe","0","0","0","",""
"Driver Recovery on Reboot","\Microsoft\Windows\Device Setup\","Disabled",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"Device User","\Microsoft\Windows\Device Information\","Ready",,"2026/6/23 5:19:24","0","%windir%\system32\devicecensus.exe","UserCxt",,"否","缺失","%windir%\system32\devicecensus.exe","0","0","0","",""
"RecommendedTroubleshootingScanner","\Microsoft\Windows\Diagnosis\","Ready",,"2025/11/3 9:32:30","0",,,,"否","空","","0","0","0","",""
"UnexpectedCodepath","\Microsoft\Windows\Diagnosis\","Ready",,"2026/6/23 7:34:59","0","%windir%\system32\UCConfigTask.exe",,,"否","缺失","%windir%\system32\UCConfigTask.exe","0","0","0","",""
"Scheduled","\Microsoft\Windows\Diagnosis\","Ready",,"2026/6/23 12:04:43","0",,,,"否","空","","0","0","0","",""
"DmClient","\Microsoft\Windows\Feedback\Siuf\","Ready",,"2026/6/23 12:04:43","0","%windir%\system32\dmclient.exe",,,"否","缺失","%windir%\system32\dmclient.exe","0","0","0","",""
"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\","Ready",,"2026/6/17 18:40:01","0",,,,"否","空","","0","0","0","",""
"DmClientOnScenarioDownload","\Microsoft\Windows\Feedback\Siuf\","Ready",,"2026/6/22 12:58:21","0","%windir%\system32\dmclient.exe","utcwnf",,"否","缺失","%windir%\system32\dmclient.exe","0","0","0","",""
"BootstrapUsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","Disabled","2026/6/23 18:52:43","2026/6/17 12:22:25","0",,,,"否","空","","0","0","0","",""
"File History (maintenance mode)","\Microsoft\Windows\FileHistory\","Ready",,"2026/6/21 10:10:05","0",,,,"否","空","","0","0","0","",""
"StorageCardEncryption Task","\Microsoft\Windows\EDP\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"dusmtask","\Microsoft\Windows\DUSM\","Ready",,"1999/11/30 0:00:00","267011","%SystemRoot%\System32\dusmtask.exe",,,"否","缺失","%SystemRoot%\System32\dusmtask.exe","0","0","0","",""
"StorageSense","\Microsoft\Windows\DiskFootprint\","Ready",,"2026/6/23 12:04:43","2147746132",,,,"否","空","","0","0","0","",""
"EDP App Launch Task","\Microsoft\Windows\EDP\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
"EDP Auth Task","\Microsoft\Windows\EDP\","Ready",,"1999/11/30 0:00:00","267011",,,,"否","空","","0","0","0","",""
